Type,Date,Latitude,Longitude

Single_Gunshot,9/20/2015,38.66,-90.23

Multiple_Gunshots,9/20/2015,38.67,-90.24

Multiple_Gunshots,9/20/2015,38.67,-90.24

Single_Gunshot,9/20/2015,38.67,-90.24

Multiple_Gunshots,9/20/2015,38.68,-90.24

Multiple_Gunshots,9/20/2015,38.67,-90.24

Single_Gunshot,9/19/2015,38.67,-90.25

Multiple_Gunshots,9/19/2015,38.67,-90.24

Single_Gunshot,9/19/2015,38.67,-90.23

Multiple_Gunshots,9/19/2015,38.67,-90.23

Multiple_Gunshots,9/19/2015,38.68,-90.23

Multiple_Gunshots,9/19/2015,38.67,-90.24

Single_Gunshot,9/19/2015,38.65,-90.24

Multiple_Gunshots,9/19/2015,38.68,-90.28

Multiple_Gunshots,9/19/2015,38.68,-90.28

Single_Gunshot,9/19/2015,38.67,-90.25

Single_Gunshot,9/18/2015,38.66,-90.25

Multiple_Gunshots,9/18/2015,38.67,-90.24

Single_Gunshot,9/18/2015,38.66,-90.25

Single_Gunshot,9/18/2015,38.68,-90.27

Multiple_Gunshots,9/18/2015,38.67,-90.24

Multiple_Gunshots,9/18/2015,38.67,-90.27

Multiple_Gunshots,9/18/2015,38.67,-90.26

Multiple_Gunshots,9/18/2015,38.67,-90.26

Single_Gunshot,9/18/2015,38.67,-90.25

Multiple_Gunshots,9/18/2015,38.66,-90.27

Single_Gunshot,9/18/2015,38.67,-90.24

Multiple_Gunshots,9/17/2015,38.67,-90.26

Multiple_Gunshots,9/17/2015,38.68,-90.26

Multiple_Gunshots,9/17/2015,38.67,-90.23

Single_Gunshot,9/17/2015,38.67,-90.25

Multiple_Gunshots,9/17/2015,38.67,-90.23

Single_Gunshot,9/17/2015,38.67,-90.25

Single_Gunshot,9/17/2015,38.66,-90.23

Single_Gunshot,9/16/2015,38.67,-90.27

Single_Gunshot,9/16/2015,38.67,-90.24

Single_Gunshot,9/16/2015,38.67,-90.24

Multiple_Gunshots,9/16/2015,38.68,-90.23

Multiple_Gunshots,9/16/2015,38.67,-90.28

Multiple_Gunshots,9/16/2015,38.67,-90.23

Single_Gunshot,9/16/2015,38.67,-90.27

Single_Gunshot,9/16/2015,38.66,-90.24

Multiple_Gunshots,9/16/2015,38.68,-90.28

Single_Gunshot,9/15/2015,38.67,-90.25

Multiple_Gunshots,9/15/2015,38.66,-90.25

Multiple_Gunshots,9/15/2015,38.66,-90.25

Multiple_Gunshots,9/15/2015,38.66,-90.25

Gunshot_or_firework,9/15/2015,38.66,-90.25

Multiple_Gunshots,9/15/2015,38.66,-90.24

Multiple_Gunshots,9/15/2015,38.67,-90.28

Multiple_Gunshots,9/15/2015,38.68,-90.28

Single_Gunshot,9/14/2015,38.67,-90.26

Multiple_Gunshots,9/14/2015,38.68,-90.28

Multiple_Gunshots,9/14/2015,38.66,-90.25

Multiple_Gunshots,9/14/2015,38.67,-90.25

Multiple_Gunshots,9/14/2015,38.67,-90.24

Single_Gunshot,9/14/2015,38.67,-90.24

Gunshot_or_firework,9/14/2015,38.67,-90.27

Multiple_Gunshots,9/13/2015,38.66,-90.24

Multiple_Gunshots,9/13/2015,38.67,-90.26

Multiple_Gunshots,9/13/2015,38.67,-90.26

Multiple_Gunshots,9/13/2015,38.68,-90.23

Single_Gunshot,9/13/2015,38.67,-90.26

Multiple_Gunshots,9/13/2015,38.67,-90.23

Multiple_Gunshots,9/13/2015,38.66,-90.24

Single_Gunshot,9/12/2015,38.66,-90.23

Multiple_Gunshots,9/12/2015,38.66,-90.26

Multiple_Gunshots,9/12/2015,38.66,-90.26

Multiple_Gunshots,9/12/2015,38.66,-90.26

Multiple_Gunshots,9/12/2015,38.66,-90.25

Multiple_Gunshots,9/12/2015,38.67,-90.22

Single_Gunshot,9/12/2015,38.68,-90.24

Single_Gunshot,9/12/2015,38.68,-90.28

Multiple_Gunshots,9/12/2015,38.66,-90.26

Single_Gunshot,9/12/2015,38.67,-90.25

Multiple_Gunshots,9/11/2015,38.68,-90.28

Multiple_Gunshots,9/11/2015,38.66,-90.25

Single_Gunshot,9/11/2015,38.69,-90.28

Multiple_Gunshots,9/11/2015,38.66,-90.27

Single_Gunshot,9/11/2015,38.67,-90.23

Single_Gunshot,9/11/2015,38.66,-90.26

Multiple_Gunshots,9/10/2015,38.68,-90.27

Single_Gunshot,9/10/2015,38.68,-90.27

Multiple_Gunshots,9/10/2015,38.68,-90.28

Multiple_Gunshots,9/10/2015,38.68,-90.28

Single_Gunshot,9/10/2015,38.66,-90.23

Multiple_Gunshots,9/10/2015,38.66,-90.26

Multiple_Gunshots,9/9/2015,38.66,-90.24

Multiple_Gunshots,9/9/2015,38.68,-90.27

Multiple_Gunshots,9/9/2015,38.67,-90.24

Multiple_Gunshots,9/9/2015,38.66,-90.27

Multiple_Gunshots,9/8/2015,38.67,-90.26

Multiple_Gunshots,9/8/2015,38.68,-90.22

Single_Gunshot,9/8/2015,38.67,-90.25

Multiple_Gunshots,9/8/2015,38.67,-90.26

Multiple_Gunshots,9/8/2015,38.67,-90.28

Multiple_Gunshots,9/8/2015,38.67,-90.24

Multiple_Gunshots,9/8/2015,38.67,-90.24

Multiple_Gunshots,9/7/2015,38.67,-90.23

Multiple_Gunshots,9/7/2015,38.67,-90.25

Single_Gunshot,9/7/2015,38.67,-90.26

Multiple_Gunshots,9/6/2015,38.66,-90.27

Single_Gunshot,9/6/2015,38.65,-90.26

Single_Gunshot,9/6/2015,38.67,-90.28

Multiple_Gunshots,9/6/2015,38.68,-90.27

Multiple_Gunshots,9/6/2015,38.68,-90.27

Single_Gunshot,9/6/2015,38.67,-90.25

Multiple_Gunshots,9/6/2015,38.68,-90.24

Multiple_Gunshots,9/6/2015,38.67,-90.26

Multiple_Gunshots,9/5/2015,38.68,-90.22

Multiple_Gunshots,9/5/2015,38.66,-90.27

Multiple_Gunshots,9/5/2015,38.66,-90.24

Multiple_Gunshots,9/5/2015,38.66,-90.24

Multiple_Gunshots,9/5/2015,38.67,-90.24

Multiple_Gunshots,9/5/2015,38.67,-90.24

Multiple_Gunshots,9/5/2015,38.67,-90.24

Multiple_Gunshots,9/5/2015,38.68,-90.26

Multiple_Gunshots,9/5/2015,38.68,-90.27

Multiple_Gunshots,9/4/2015,38.68,-90.23

Multiple_Gunshots,9/4/2015,38.66,-90.26

