Type,Date,Latitude,Longitude
Single_Gunshot,7/27/2015,38.67,-90.26

Multiple_Gunshots,7/27/2015,38.67,-90.24

Single_Gunshot,7/27/2015,38.68,-90.25

Multiple_Gunshots,7/26/2015,38.66,-90.27

Single_Gunshot,7/26/2015,38.67,-90.22

Multiple_Gunshots,7/26/2015,38.68,-90.27

Multiple_Gunshots,7/26/2015,38.68,-90.28

Single_Gunshot,7/26/2015,38.68,-90.28

Single_Gunshot,7/26/2015,38.67,-90.26

Multiple_Gunshots,7/26/2015,38.67,-90.24

Single_Gunshot,7/26/2015,38.68,-90.27

Single_Gunshot,7/26/2015,38.67,-90.26

Multiple_Gunshots,7/26/2015,38.67,-90.22

Single_Gunshot,7/26/2015,38.67,-90.22

Multiple_Gunshots,7/26/2015,38.67,-90.24

Single_Gunshot,7/25/2015,38.66,-90.24

Single_Gunshot,7/25/2015,38.66,-90.26

Multiple_Gunshots,7/25/2015,38.67,-90.24

Single_Gunshot,7/25/2015,38.67,-90.24

Multiple_Gunshots,7/25/2015,38.67,-90.26

Multiple_Gunshots,7/25/2015,38.66,-90.23

Single_Gunshot,7/25/2015,38.66,-90.23

Single_Gunshot,7/25/2015,38.66,-90.23

Multiple_Gunshots,7/25/2015,38.67,-90.24

